EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,network_capacity_type,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,r1_bpsk_m,r2_bpsk_m,r1_qpsk_m,r2_qpsk_m,r1_16qam_m,r2_16qam_m,r1_64qam_m,r2_64qam_m
1,130,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,120.0,120.0,470.0,240.0,620.0,400.0,1300.0,1040.0,2530.0,2200.0
1,130,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,570.0,90.0,2120.0,1720.0,2810.0,2430.0,5830.0,5300.0,9990.0,9990.0
1,130,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,50.0,50.0,210.0,10.0,290.0,80.0,600.0,370.0,1130.0,900.0
1,130,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,120.0,27.950849718747374,470.0,250.0,630.0,410.0,1300.0,1060.0,2530.0,2240.0
1,130,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,570.0,160.0,2120.0,1770.0,2810.0,2470.0,5830.0,5390.0,9990.0,5584.5797738057245
1,140,MINIMAL,SMALL,False,False,1,False,1531,3,1,60.0,60.0,230.0,10.0,320.0,90.0,650.0,410.0,1230.0,990.0
1,140,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,130.0,130.0,520.0,280.0,690.0,450.0,1410.0,1160.0,2720.0,2450.0
1,140,MINIMAL,LARGE,False,False,1,False,1531,3,3,620.0,230.0,2280.0,1950.0,3020.0,2710.0,6280.0,5880.0,9990.0,9990.0
1,140,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,60.0,60.0,220.0,0.0,310.0,80.0,630.0,390.0,1210.0,950.0
1,140,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,130.0,130.0,510.0,260.0,670.0,430.0,1400.0,1120.0,2720.0,2370.0
1,140,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,620.0,100.0,2280.0,1860.0,3020.0,2610.0,6280.0,5710.0,9990.0,9990.0
1,140,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,60.0,60.0,230.0,10.0,310.0,90.0,640.0,400.0,1220.0,970.0
1,140,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,130.0,27.95084971874737,510.0,270.0,680.0,440.0,1400.0,1140.0,2720.0,2410.0
1,140,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,620.0,170.0,2280.0,1900.0,3020.0,2660.0,6280.0,5584.5797738057245,9990.0,5584.5797738057245
1,150,MINIMAL,SMALL,False,False,1,False,1531,3,1,60.0,60.0,249.99999999999994,9.999999999999998,339.99999999999994,99.99999999999997,699.9999999999999,439.9999999999999,1319.9999999999998,1059.9999999999998
1,150,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,140.0,140.0,559.9999999999999,299.99999999999994,739.9999999999999,479.9999999999999,1509.9999999999998,1239.9999999999998,2919.9999999999995,2619.9999999999995
1,150,MINIMAL,LARGE,False,False,1,False,1531,3,3,660.0,249.99999999999994,2440.0,2079.9999999999995,3240.0,2899.999999999999,6730.0,6299.999999999999,9990.0,9990.0
1,150,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,60.0,60.0,240.0,0.0,329.99999999999994,89.99999999999999,679.9999999999999,419.9999999999999,1300.0,1019.9999999999999
1,150,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,140.0,140.0,540.0,279.99999999999994,720.0,459.9999999999999,1500.0,1199.9999999999998,2919.9999999999995,2539.9999999999995
1,150,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,660.0,109.99999999999997,2440.0,1989.9999999999995,3240.0,2799.9999999999995,6730.0,6109.999999999999,9990.0,9990.0
1,150,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,60.0,60.0,240.0,9.999999999999998,339.99999999999994,89.99999999999999,689.9999999999998,429.99999999999994,1300.0,1039.9999999999998
1,150,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,140.0,27.95084971874737,549.9999999999999,289.99999999999994,729.9999999999998,469.99999999999994,1500.0,1219.9999999999998,2919.9999999999995,2589.9999999999995
1,150,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,660.0,179.99999999999997,2440.0,2039.9999999999998,3240.0,2849.9999999999995,6730.0,5584.579773805725,9990.0,5584.579773805725
1,160,MINIMAL,SMALL,False,False,1,False,1531,3,1,70.0,70.0,260.0,10.0,370.0,100.0,740.0,470.0,1410.0,1130.0
1,160,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,150.0,150.0,590.0,320.0,790.0,520.0,1610.0,1330.0,3110.0,2800.0
1,160,MINIMAL,LARGE,False,False,1,False,1531,3,3,710.0,270.0,2610.0,2220.0,3450.0,3090.0,7180.0,6720.0,9990.0,9990.0
1,160,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,70.0,70.0,260.0,0.0,350.0,90.0,720.0,450.0,1390.0,1090.0
1,160,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,150.0,150.0,580.0,300.0,770.0,490.0,1600.0,1280.0,3110.0,2710.0
