EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,capacity_requirement,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,rs1_theoretical_m,rs2_theoretical_m,ra1_theoretical_m,ra2_theoretical_m,r1_bpsk_m,r2_bpsk_m,rs1_bpsk_m,rs2_bpsk_m,ra1_bpsk_m,ra2_bpsk_m,r1_qpsk_m,r2_qpsk_m,rs1_qpsk_m,rs2_qpsk_m,ra1_qpsk_m,ra2_qpsk_m,r1_16qam_m,r2_16qam_m,rs1_16qam_m,rs2_16qam_m,ra1_16qam_m,ra2_16qam_m,r1_64qam_m,r2_64qam_m,rs1_64qam_m,rs2_64qam_m,ra1_64qam_m,ra2_64qam_m
1,100,CROSS_ROW,303846,False,False,1,False,1531,3,1,99.99999999999999,99.99999999999999,nan,nan,nan,nan,399.99999999999994,220.00000000000003,390.0,390.0,220.0,220.0,530.0000000000001,350.00000000000006,530.0,530.0,350.0,350.0,1099.9999999999998,900.0000000000002,1070.0,1070.0,900.0,900.0,2140.0,1880.0000000000005,2060.0,2060.0,1880.0,1880.0
1,100,CROSS_ROW,430769,False,False,1,False,1531,3,1,129.99999999999997,129.99999999999997,nan,nan,nan,nan,469.99999999999994,290.00000000000006,460.0,460.0,290.0,290.0,629.9999999999999,450.0000000000001,620.0,620.0,450.0,450.0,1309.9999999999998,1090.0000000000002,1270.0,1270.0,1090.0,1090.0,2549.9999999999995,2270.0000000000005,2440.0,2440.0,2270.0,2270.0
1,100,CROSS_ROW,557692,False,False,1,False,1531,3,1,140.0,140.0,nan,nan,nan,nan,540.0,350.00000000000006,520.0,520.0,350.0,350.0,719.9999999999999,530.0000000000001,700.0,700.0,530.0,530.0,1489.9999999999998,1260.0000000000002,1440.0,1440.0,1260.0,1260.0,2899.9999999999995,2600.0000000000005,2780.0,2780.0,2600.0,2600.0
1,100,CROSS_ROW,684615,False,False,1,False,1531,3,1,160.0,160.0,nan,nan,nan,nan,599.9999999999999,400.0000000000001,570.0,570.0,400.0,400.0,789.9999999999999,600.0000000000001,780.0,780.0,600.0,600.0,1649.9999999999995,1420.0000000000002,1590.0,1590.0,1420.0,1420.0,3219.9999999999995,2900.0000000000005,3070.0,3070.0,2900.0,2900.0
1,100,CROSS_ROW,811538,False,False,1,False,1531,3,1,169.99999999999997,169.99999999999997,nan,nan,nan,nan,649.9999999999999,450.0000000000001,620.0,620.0,450.0,450.0,869.9999999999999,670.0000000000001,840.0,840.0,670.0,670.0,1799.9999999999995,1550.0000000000002,1730.0,1730.0,1550.0,1550.0,3509.9999999999995,3160.0000000000005,3340.0,3340.0,3160.0,3160.0
1,100,CROSS_ROW,938461,False,False,1,False,1531,3,2,189.99999999999997,70.0,70.0,70.0,nan,nan,699.9999999999999,490.00000000000006,670.0,670.0,490.0,490.0,929.9999999999999,730.0000000000001,900.0,900.0,730.0,730.0,1939.9999999999998,1680.0,1860.0,1860.0,1680.0,1680.0,3769.9999999999995,3410.0,3590.0,3590.0,3410.0,3410.0
1,100,CROSS_ROW,1065384,False,False,1,False,1531,3,2,199.99999999999997,80.00000000000001,80.0,80.0,nan,nan,749.9999999999999,530.0000000000001,710.0,710.0,530.0,530.0,989.9999999999999,780.0000000000001,960.0,960.0,780.0,780.0,2060.0,1800.0000000000005,1980.0,1980.0,1800.0,1800.0,4019.9999999999995,3650.000000000001,3830.0,3830.0,3650.0,3650.0
1,100,CROSS_ROW,1192307,False,False,1,False,1531,3,2,209.99999999999997,100.00000000000003,100.0,100.0,nan,nan,789.9999999999999,570.0000000000001,750.0,750.0,570.0,570.0,1049.9999999999998,840.0,1010.0,1010.0,840.0,840.0,2179.9999999999995,1910.0000000000002,2090.0,2090.0,1910.0,1910.0,4249.999999999999,3870.0000000000005,4050.0,4050.0,3870.0,3870.0
1,100,CROSS_ROW,1319230,False,False,1,False,1531,3,2,219.99999999999997,100.00000000000003,100.0,100.0,nan,nan,829.9999999999999,610.0,790.0,790.0,610.0,610.0,1099.9999999999998,890.0000000000002,1060.0,1060.0,890.0,890.0,2299.9999999999995,2020.0000000000002,2200.0,2200.0,2020.0,2020.0,4470.0,4080.0000000000005,4250.0,4250.0,4080.0,4080.0
1,100,CROSS_ROW,1446153,False,False,1,False,1531,3,2,229.99999999999997,110.00000000000001,110.0,110.0,nan,nan,869.9999999999999,650.0000000000001,820.0,820.0,650.0,650.0,1159.9999999999998,940.0000000000002,1110.0,1110.0,940.0,940.0,2399.9999999999995,2120.0000000000005,2300.0,2300.0,2120.0,2120.0,4679.999999999999,4270.0,4450.0,4450.0,4270.0,4270.0
